category,region,supplier_id,domain_raw,domain_norm,display_domain,name,url,phones,address,parse_status,is_pinned,priority,source_file
bezramnoe-osteklenie,moskva-i-mo,stekloroll.ru,stekloroll.ru,stekloroll.ru,stekloroll.ru,StekloRoll,https://stekloroll.ru,+74951510979,"Москва, Киевское шоссе, д.1, к.Б, БЦ Румянцево",ok,true,100,bezramnoe-osteklenie_moskva-i-mo.json
bezramnoe-osteklenie,moskva-i-mo,artalico.ru,artalico.ru,artalico.ru,artalico.ru,Artalico,https://artalico.ru,+74951510979,,ok,true,99,bezramnoe-osteklenie_moskva-i-mo.json
bezramnoe-osteklenie,moskva-i-mo,ramokna.ru,ramokna.ru,ramokna.ru,ramokna.ru,Ramokna,https://ramokna.ru,,,partial,false,,bezramnoe-osteklenie_moskva-i-mo.json
bezramnoe-osteklenie,moskva-i-mo,glassproekt.ru,glassproekt.ru,glassproekt.ru,glassproekt.ru,Glass Proekt,https://glassproekt.ru,,,partial,false,,bezramnoe-osteklenie_moskva-i-mo.json
bezramnoe-osteklenie,moskva-i-mo,alum-paritet.ru,alum-paritet.ru,alum-paritet.ru,alum-paritet.ru,Алюм-Паритет,https://alum-paritet.ru,,,partial,false,,bezramnoe-osteklenie_moskva-i-mo.json
bezramnoe-osteklenie,moskva-i-mo,podolskie-okna.ru,podolskie-okna.ru,podolskie-okna.ru,podolskie-okna.ru,Подольские окна,https://podolskie-okna.ru,,,partial,false,,bezramnoe-osteklenie_moskva-i-mo.json
bezramnoe-osteklenie,moskva-i-mo,xn----7sbgbipzyfcbn3f.xn--p1ai,xn----7sbgbipzyfcbn3f.xn--p1ai,xn----7sbgbipzyfcbn3f.xn--p1ai,стеклопрофи.рф,Стеклопрофи,https://xn----7sbgbipzyfcbn3f.xn--p1ai,,,partial,false,,bezramnoe-osteklenie_moskva-i-mo.json
bezramnoe-osteklenie,moskva-i-mo,terraglass.ru,terraglass.ru,terraglass.ru,terraglass.ru,Terra Glass,https://terraglass.ru/bezramnoe-razdvizhnoe-osteklenie.html,,,partial,false,,bezramnoe-osteklenie_moskva-i-mo.json
bezramnoe-osteklenie,moskva-i-mo,netrama.ru,netrama.ru,netrama.ru,netrama.ru,Netrama,https://netrama.ru/,,,partial,false,,bezramnoe-osteklenie_moskva-i-mo.json
bezramnoe-osteklenie,moskva-i-mo,glasstroy.ru,glasstroy.ru,glasstroy.ru,glasstroy.ru,Гласстрой,https://www.glasstroy.ru/fasadnoe-osteklenie/bezramnoe-osteklenie-terrasy-luchshie-varianty,,,partial,false,,bezramnoe-osteklenie_moskva-i-mo.json
bezramnoe-osteklenie,moskva-i-mo,miro-miro.ru,miro-miro.ru,miro-miro.ru,miro-miro.ru,Miro-Miro,https://miro-miro.ru,,,partial,false,,bezramnoe-osteklenie_moskva-i-mo.json
myagkie-okna,moskva-i-mo,,myagkie.com,myagkie.com,myagkie.com,"Мягкие окна для беседки, веранды или террасы купить от 1080₽/м2 в Москве",https://myagkie.com/,"+74956688258, +79164985617",,partial,false,,myagkie-okna_moskva-i-mo.json
myagkie-okna,moskva-i-mo,,ctepan.ru,ctepan.ru,ctepan.ru,Мягкие (гибкие) окна - купить по выгодной цене от 690 ₽/м² в Москве,https://ctepan.ru/,+79299402741,,partial,false,,myagkie-okna_moskva-i-mo.json
myagkie-okna,moskva-i-mo,,mjagkieokna.ru,mjagkieokna.ru,mjagkieokna.ru,"Мягкие окна для веранды, беседок и террас в Москве - Купить по цене от 1000 руб. | Купить мягкие окна для веранды от производителя",https://mjagkieokna.ru/,"+79675550510, +79999999999",,partial,false,,myagkie-okna_moskva-i-mo.json
myagkie-okna,moskva-i-mo,,miagkieokna.ru,miagkieokna.ru,miagkieokna.ru,"Мягкие окна в Москве для веранды, беседок и террас | Купить мягкие окна по низким ценам от производителя с доставкой в Московской области",https://miagkieokna.ru/,+79675551523,,partial,false,,myagkie-okna_moskva-i-mo.json
myagkie-okna,moskva-i-mo,,tentoptom.ru,tentoptom.ru,tentoptom.ru,Тент купить в Москве | Продажа тентов в г. Москва от «Тенты России»,https://tentoptom.ru/,+79955775245,,partial,false,,myagkie-okna_moskva-i-mo.json
myagkie-okna,moskva-i-mo,,oknafactoria.ru,oknafactoria.ru,oknafactoria.ru,ERROR,https://oknafactoria.ru/,,,partial,false,,myagkie-okna_moskva-i-mo.json
myagkie-okna,moskva-i-mo,,кантим.рф,кантим.рф,кантим.рф,Готовые мягкие окна – выгодные цены с доставкой!,https://xn--80aqekd4a.xn--p1ai/,"+79991112575, +79431465185, +79261111111",,partial,false,,myagkie-okna_moskva-i-mo.json
myagkie-okna,moskva-i-mo,,уют-окна.рф,уют-окна.рф,уют-окна.рф,Мягкие окна под ключ от производителя в Москве и МО,https://xn----8sb3amdwg2g.xn--p1ai/,+79264059705,,partial,false,,myagkie-okna_moskva-i-mo.json
myagkie-okna,moskva-i-mo,,oknatent.ru,oknatent.ru,oknatent.ru,Мягкие окна в Москве от производителя под ключ | &quot;ОКНАТЕНТ&quot;,https://oknatent.ru/,+74950320446,,partial,false,,myagkie-okna_moskva-i-mo.json
myagkie-okna,moskva-i-mo,,okna-vit.ru,okna-vit.ru,okna-vit.ru,,https://okna-vit.ru/,,,failed,false,,myagkie-okna_moskva-i-mo.json
myagkie-okna,moskva-i-mo,,lider-tent.ru,lider-tent.ru,lider-tent.ru,Тент купить в Москве от производителя - Низкие цены от 117 руб. | Заказать тент в г. Москва недорого,https://lider-tent.ru/,"+79675551568, +79999999999",,partial,false,,myagkie-okna_moskva-i-mo.json
myagkie-okna,moskva-i-mo,stekloroll.ru,stekloroll.ru,stekloroll.ru,stekloroll.ru,StekloRoll,https://stekloroll.ru,+74951510979,"Москва, Киевское шоссе, д.1, к.Б, БЦ Румянцево",ok,true,100,myagkie-okna_moskva-i-mo.json
myagkie-okna,moskva-i-mo,artalico.ru,artalico.ru,artalico.ru,artalico.ru,Artalico,https://artalico.ru,+74951510979,,ok,true,99,myagkie-okna_moskva-i-mo.json
prozrachnye-rolstavni,moskva-i-mo,stekloroll.ru,stekloroll.ru,stekloroll.ru,stekloroll.ru,StekloRoll,https://stekloroll.ru,+74951510979,"Москва, Киевское шоссе, д.1, к.Б, БЦ Румянцево",ok,true,100,prozrachnye-rolstavni_moskva-i-mo.json
prozrachnye-rolstavni,moskva-i-mo,,levin-group.ru,levin-group.ru,levin-group.ru,"Прозрачные рольставни для веранды, беседки или террасы купить в Москве по цене от 27000 руб с гарантией качества",https://levin-group.ru/katalog/rolstavni/prozrachnyie/,"+74957775507, +79999999999, +78754972812",,partial,false,,prozrachnye-rolstavni_moskva-i-mo.json
